Lot,Consignor,HeadKind,Location,Delivery,Origin,Slide,Rep,BreedType,Notes,Changes,IconFiles,gfxChanged,WebPage
2541,Richard Dean Farms,73 Weaned Steer Calves 700#,"Vada, GA",**July 1 - 21**,**Home Raised**,Conventional: 12¢,Coleman Harrison,"Out of English cows by DeBruycker Charolais & Jorgensen Angus bulls. Approx. 60% Charolais, 30% Black & BWF & 10% Red. No ear.",,,bqa_150.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2541
2542,Richard Dean Farms,75 Weaned Heifer Calves 675#,"Vada, GA",July 1 - 21,Home Raised,Conventional: 12¢,Coleman Harrison,"Out of English cows by DeBruycker Charolais & Jorgensen Angus bulls. Approx. 60% Charolais, 30% Black & BWF & 10% Red. No ear.",,,bqa_150.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2542
2543,"Jones Farm, LLC",72 Feeder Steers 715#,"Brandon, MS",May 20 - 30,Purchased,2-Way Slide: 10¢,Wesley Granthum,Mixed English cross. Approx. 90% Black & 10% Charolais or Red. Approx. 10% show 1/8 or less ear.,,,stop25_130.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2543
2544,3E Cattle Company,72 Feeder Steers 715#,"Hope Hull, AL",May 16 - 23,Purchased,Conventional: 10¢,Darrell Stokes,"Mixed English Exotic cross. Approx. 45% Black & BWF, 15% Charolais cross & 40% Red or Brindle. Approx. 30% are 3/8 to 1/2 blood, 40% 1/4 or less ear, balance 1/8 or less.",,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2544
2545,Sandy Ridge Farms,33 Feeder Steers 725#<br>37 Feeder Heifers 715# - $15 back,"Mathews, AL",May 12 - 16,Home Raised,Conventional: 10¢,Darrell Stokes,Out of Angus & English cross cows by Charolais bulls. Approx. 90% Charolais cross & 10% Black or Red. Approx. 10% show 1/8 or less ear.,,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2545
2546,Couey Farms,40 Feeder Steers 750#<br>40 Feeder Heifers 700# - $15 back,"Dublin, GA",July 1 - 21,Home Raised,Conventional: 10¢,Coleman Harrison,Out of Brangus cows by Hereford bulls. Approx. 70% Black & BWF & 30% Red & RWF. Approx. 95% show 1/4 or less ear & 5% 3/8 to 1/2.,,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2546
2547,Crooked Creek Farms,133 Feeder Steers 760#,"Altha, FL",May 13 - 16,Purchased,Conventional: 10¢,Beaver Yoder,"Mixed English cross. 100% Black & BWF. Approx. 5% show 1/4 or less ear, 10% show 1/8 or less, balance none.",,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2547
2548,Eubanks Family Ranch,31 Feeder Steers 770#<br>39 Feeder Heifers 750# - $20 back,"Lucedale, MS",May 12 - 16,Home Raised,Conventional: 10¢,Wesley Granthum,Out of mixed English cross cows by Black & Red Angus bulls. Approx. 55 Black & 15 Red. Approx. 20% show 1/8 to 1/4 ear.,,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2548
2549,Crooked Creek Farms,62 Feeder Steers 775#,"Marianna, FL",May 13 - 16,Purchased,Conventional: 10¢,Beaver Yoder,"Mixed English cross. 100% Black & BWF. Approx. 5% show 1/4 or less ear, 20% show 1/8 or less, balance none.",,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2549
2550,Danny Smith Livestock,62 Feeder Steers 775#,"Brookhaven, MS",May 26 - 30,Purchased,2-Way Slide: 10¢,Wesley Granthum,Mixed English cross. Approx. 70% Black & 30% Charolais or Red. Approx. 15% show 1/8 to 1/4 ear.,,,stop25_130.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2550
2551,"Jones Farm, LLC",195 Feeder Steers 785#,"Brandon, MS",May 12 - 16,Purchased,2-Way Slide: 10¢,Wesley Granthum,"Mixed English cross. Approx. 80% Black & 20% Charolais or Red. Approx. 10% show 1/4 or less ear, balance 1/8 or less.",,,stop25_130.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2551
2552,"Jones Farm, LLC",120 Feeder Steers 850#,"Brandon, MS",May 12 - 16,Purchased,2-Way Slide: 10¢,Wesley Granthum,"Mixed English cross. Approx. 85% Black & 15% Charolais or Red. Approx. 25% show 1/4 or less ear, balance 1/8 or less.",,,stop25_130.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2552
2553,Couey Farms,62 Feeder Steers 850#,"Dublin, GA",May 9 - 18,Home Raised,Conventional: 10¢,Coleman Harrison,Out of Brangus cows by Hereford bulls. Approx. 70% Black & BWF & 30% Red & RWF. 100% show 1/4 or less ear.,,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2553
2554,Parker Livestock,420 Feeder Steers 865#,"Poplarville, MS",May 12 - 16,Purchased,Conventional: 10¢,Wesley Granthum,Mixed English Exotic Cross. Approx. 80% Black & 20% Charolais or Red. Approx. 25% show 1/8 to 1/4 ear.,,,stop25_130.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2554
2554.1,Parker Livestock,420 Feeder Steers 865#,"Poplarville, MS",May 12 - 16,Purchased,Conventional: 10¢,Wesley Granthum,Mixed English Exotic Cross. Approx. 80% Black & 20% Charolais or Red. Approx. 25% show 1/8 to 1/4 ear.,,,stop25_130.png,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2554.1
2555,Nearbrook Cattle Co,60 Feeder Steers 865#,"Atwood, IL",May 12 - 15,Purchased,Conventional: 8**¢**,Zach Rincker,59 Black/BWF and one Charolais cross.,,,,,https://bid.live-ag.com/events/event/125/liveag-video-auction?lot=2555
